# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Fri May  5 04:05:12 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc

1983,7,1983.542,1625.94,2.10,1635.02,1.39
1983,8,1983.625,1628.07,2.69,1635.56,1.33
1983,9,1983.708,1638.42,2.33,1636.15,1.27
1983,10,1983.792,1644.81,1.59,1636.79,1.20
1983,11,1983.875,1642.60,0.78,1637.50,1.12
1983,12,1983.958,1639.50,1.01,1638.27,1.04
1984,1,1984.042,1638.67,1.78,1639.14,0.95
1984,2,1984.125,1638.76,2.05,1640.02,0.87
1984,3,1984.208,1640.71,1.81,1640.95,0.81
1984,4,1984.292,1643.75,1.93,1641.99,0.75
1984,5,1984.375,1642.90,1.09,1643.06,0.71
1984,6,1984.458,1639.59,0.90,1644.16,0.68
1984,7,1984.542,1637.79,1.10,1645.29,0.66
1984,8,1984.625,1641.36,1.51,1646.44,0.65
1984,9,1984.708,1650.39,1.21,1647.59,0.65
1984,10,1984.792,1654.50,1.54,1648.72,0.65
1984,11,1984.875,1653.67,1.08,1649.85,0.66
1984,12,1984.958,1656.11,1.23,1650.96,0.66
1985,1,1985.042,1655.58,1.26,1652.06,0.66
1985,2,1985.125,1652.22,1.39,1653.10,0.66
1985,3,1985.208,1654.60,0.99,1654.11,0.66
1985,4,1985.292,1658.21,0.90,1655.14,0.65
1985,5,1985.375,1655.87,1.27,1656.16,0.65
1985,6,1985.458,1650.03,1.35,1657.18,0.64
1985,7,1985.542,1646.78,1.36,1658.18,0.65
1985,8,1985.625,1652.21,1.42,1659.21,0.65
1985,9,1985.708,1662.49,1.34,1660.22,0.66
1985,10,1985.792,1667.54,1.23,1661.23,0.68
1985,11,1985.875,1666.81,1.32,1662.25,0.69
1985,12,1985.958,1666.05,1.20,1663.28,0.72
1986,1,1986.042,1666.25,1.25,1664.34,0.75
1986,2,1986.125,1666.84,1.76,1665.35,0.77
1986,3,1986.208,1669.25,1.31,1666.37,0.79
1986,4,1986.292,1670.84,1.46,1667.44,0.82
1986,5,1986.375,1668.44,0.91,1668.51,0.84
1986,6,1986.458,1664.75,1.30,1669.59,0.86
1986,7,1986.542,1662.33,1.36,1670.67,0.87
1986,8,1986.625,1664.36,1.89,1671.78,0.88
1986,9,1986.708,1672.58,1.69,1672.87,0.87
1986,10,1986.792,1678.69,1.54,1673.97,0.86
1986,11,1986.875,1679.00,1.69,1675.07,0.85
1986,12,1986.958,1679.11,1.18,1676.16,0.82
1987,1,1987.042,1679.33,1.13,1677.26,0.79
1987,2,1987.125,1678.98,1.07,1678.30,0.75
1987,3,1987.208,1680.11,0.87,1679.32,0.71
1987,4,1987.292,1681.46,0.94,1680.36,0.66
1987,5,1987.375,1681.86,0.96,1681.38,0.61
1987,6,1987.458,1680.00,0.97,1682.36,0.56
1987,7,1987.542,1676.00,0.86,1683.32,0.51
1987,8,1987.625,1677.15,0.83,1684.26,0.47
1987,9,1987.708,1685.59,0.91,1685.15,0.44
1987,10,1987.792,1691.59,0.83,1686.02,0.41
1987,11,1987.875,1691.17,0.73,1686.87,0.41
1987,12,1987.958,1690.50,0.88,1687.69,0.41
1988,1,1988.042,1691.97,0.83,1688.53,0.43
1988,2,1988.125,1692.46,0.81,1689.32,0.46
1988,3,1988.208,1691.28,0.99,1690.11,0.50
1988,4,1988.292,1690.02,1.00,1690.95,0.53
1988,5,1988.375,1689.02,1.03,1691.79,0.57
1988,6,1988.458,1687.11,1.10,1692.66,0.60
1988,7,1988.542,1685.92,0.75,1693.55,0.62
1988,8,1988.625,1689.36,1.00,1694.48,0.64
1988,9,1988.708,1696.26,1.21,1695.43,0.65
1988,10,1988.792,1701.32,1.25,1696.39,0.65
1988,11,1988.875,1702.90,1.20,1697.38,0.65
1988,12,1988.958,1701.99,1.02,1698.39,0.64
1989,1,1989.042,1700.57,0.96,1699.42,0.62
1989,2,1989.125,1701.07,1.07,1700.41,0.61
1989,3,1989.208,1702.53,1.26,1701.39,0.59
1989,4,1989.292,1703.69,1.02,1702.39,0.58
1989,5,1989.375,1703.41,0.49,1703.38,0.56
1989,6,1989.458,1700.22,0.83,1704.36,0.56
1989,7,1989.542,1698.24,0.87,1705.30,0.55
1989,8,1989.625,1701.97,0.97,1706.23,0.55
1989,9,1989.708,1707.17,1.02,1707.12,0.56
1989,10,1989.792,1710.53,1.09,1707.98,0.57
1989,11,1989.875,1713.08,0.86,1708.80,0.59
1989,12,1989.958,1713.16,0.87,1709.59,0.61
